Date,Sales
2021-01-01,5174
2021-02-01,5672
2021-03-01,6506
2021-04-01,7093
2021-05-01,6437
2021-06-01,6118
2021-07-01,6273
2021-08-01,5509
2021-09-01,4756
2021-10-01,5070
2021-11-01,4999
2021-12-01,5557
2022-01-01,6525
2022-02-01,6490
2022-03-01,7116
2022-04-01,7803
2022-05-01,7605
2022-06-01,7750
2022-07-01,6842
2022-08-01,6186
2022-09-01,6874
2022-10-01,6241
2022-11-01,6624
2022-12-01,6661
2023-01-01,7689
2023-02-01,8639
2023-03-01,8756
2023-04-01,9571
2023-05-01,9189
2023-06-01,8978
2023-07-01,8389
2023-08-01,8768
2023-09-01,7796
2023-10-01,7390
2023-11-01,8329
2023-12-01,8173
2024-01-01,9393
2024-02-01,9354
2024-03-01,10134
2024-04-01,10949
2024-05-01,11098
2024-06-01,10580
2024-07-01,10000
2024-08-01,9455
2024-09-01,8723
2024-10-01,8948
2024-11-01,9320
2024-12-01,10410
2025-01-01,10880
2025-02-01,10863
2025-03-01,12153
2025-04-01,12185
2025-05-01,12042
2025-06-01,12174
2025-07-01,11841
2025-08-01,11326
2025-09-01,10387
2025-10-01,10532
2025-11-01,11037
2025-12-01,11821
